@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 1 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 2 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 3 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 4 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 5 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 6 -L first-last -M-S1'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
47,8,8,8,2,8
32,6,18,18,2,1
35,5,7,14,2,13
39,12,14,16,3,28
30,6,15,16,2,1
38,14,15,16,2,14
33,7,25,25,2,1
37,6,16,17,3,18
28,10,15,15,2,13
34,21,23,24,2,19
56,11,12,18,2,13
32,11,17,18,1,1
34,12,30,31,2,14
31,13,17,17,2,17
31,15,17,17,6,28
38,11,13,13,2,1
20,6,10,15,2,6
25,13,15,15,6,12
29,13,20,20,6,13
25,15,17,17,2,20
27,12,17,17,3,13
31,6,17,18,2,1
21,11,21,21,3,16
26,8,14,23,3,12
21,12,17,0,3,13
39,5,9,11,3,11
20,7,15,0,3,7
27,9,23,23,2,16
41,12,15,12,2,15
27,11,12,10,2,12
20,12,16,0,2,15
35,5,11,17,3,26
23,10,13,16,3,12
42,12,13,18,3,28
19,5,17,17,3,19
32,10,11,19,2,12
29,12,15,15,3,25
27,12,16,16,2,15
26,10,14,18,3,17
26,5,13,15,3,23
26,10,10,21,3,14
51,7,15,7,2,7
27,4,17,17,2,11
17,12,15,0,6,1
41,8,8,12,2,1
29,18,19,19,2,12
20,6,17,18,3,16
37,5,14,21,2,15
35,16,19,19,2,16
36,13,25,25,2,13
23,10,16,16,2,12
23,11,15,16,2,13
30,9,15,16,2,1
32,18,27,27,3,30
22,6,19,0,6,1
40,8,20,20,2,7
41,5,19,32,1,17
30,9,18,19,3,23
35,8,18,18,2,1
34,9,14,20,2,11
22,7,8,15,6,21
26,6,15,23,3,12
35,13,24,24,2,15
29,11,18,18,2,1
28,6,16,16,2,12
30,11,17,18,2,12
35,11,13,15,3,12
20,15,18,0,2,18
23,14,20,20,3,17
24,10,22,22,3,18
31,13,18,18,6,25
27,6,22,22,3,22
36,10,10,18,2,1
24,5,6,15,3,16
32,5,17,26,1,1
43,10,13,28,2,14
35,10,6,19,2,10
31,9,15,16,2,16
30,8,13,13,2,1
23,0,0,0,6,17
41,5,13,17,2,1
57,7,13,15,2,7
61,11,14,14,3,11
60,13,12,24,2,12
34,12,20,33,3,29
25,9,13,15,2,1
21,6,12,17,6,16
46,7,10,15,3,1
27,13,15,23,2,19
31,7,17,18,2,1
38,10,20,25,2,20
31,11,18,20,2,11
18,8,13,16,3,12
21,7,12,12,2,1
33,15,21,21,2,18
25,12,13,17,3,1
33,11,13,24,2,17
20,7,14,0,2,15
43,13,14,21,2,14
35,6,14,16,2,10
33,15,18,17,2,13
24,10,10,15,3,1
33,6,6,14,3,16
22,13,16,0,3,20
23,15,15,20,1,16
30,13,14,14,3,1
45,10,12,14,2,12
37,13,18,6,2,15
22,10,18,19,3,15
27,12,18,18,2,1
41,8,15,16,3,23
31,10,15,16,2,14
20,8,12,18,3,7
34,7,16,16,2,12
28,8,14,17,2,8
31,5,15,18,3,15
24,12,14,0,3,13
37,12,16,16,2,15
32,4,6,20,2,1
27,6,16,17,3,20
34,14,16,17,1,10
30,10,14,18,3,16
33,13,17,17,3,19
26,8,14,24,3,23
23,12,13,13,1,14
21,13,14,14,2,13
33,17,17,21,3,25
21,11,13,18,3,18
30,12,15,18,3,15
54,10,15,15,2,1
28,5,19,19,2,8
52,16,18,24,3,49
34,11,11,16,1,19
30,11,15,0,3,20
25,16,17,18,3,16
28,4,18,18,2,4
18,12,0,0,1,13
43,6,23,23,2,1
37,11,16,17,6,30
27,11,15,16,1,14
24,11,16,19,2,14
25,18,20,21,3,19
37,12,14,27,3,1
25,12,16,16,2,17
42,20,21,21,2,20
31,7,19,23,3,25
30,12,17,18,1,10
28,6,8,18,3,1
31,13,13,22,2,12
28,28,17,17,6,28
21,13,0,0,3,16
23,17,19,19,3,18
40,7,14,21,2,19
21,14,18,20,3,18
33,15,17,18,2,15
32,11,16,21,1,11
30,22,23,25,2,23
39,10,12,12,3,16
18,11,15,0,2,17
35,7,8,13,2,11
37,6,8,10,3,12
29,12,18,18,1,18
26,16,20,20,3,19
28,14,14,17,2,17
23,10,22,0,3,12
26,10,18,19,2,11
28,13,21,21,2,10
28,6,21,21,2,1
31,8,15,16,3,24
62,14,21,22,2,21
20,12,19,0,3,1
34,9,24,26,3,24
32,10,15,16,2,10
20,11,0,0,3,16
19,15,19,0,6,18
37,13,13,13,2,13
21,12,13,0,3,18
36,10,12,17,2,12
37,14,15,15,3,1
29,14,17,17,2,14
31,8,16,18,1,19
22,0,0,0,6,1
22,8,0,0,6,20
35,12,21,23,6,19
24,13,23,23,3,23
34,3,14,16,2,5
31,5,17,18,2,18
33,11,11,19,3,22
34,12,13,13,2,13
43,10,25,25,2,1
26,16,17,17,2,17
55,22,0,17,3,45
32,9,7,9,2,1
32,12,16,16,3,20
27,4,15,21,3,23
49,8,13,17,2,1
43,12,13,13,2,12
28,6,17,20,2,1
32,14,20,20,2,13
26,12,19,19,2,19
30,6,13,17,1,16
25,14,19,19,2,17
29,15,19,19,2,20
39,12,16,16,2,15
27,11,14,17,3,16
28,12,14,14,2,18
26,15,16,16,2,15
22,16,18,20,2,15
24,10,19,19,2,10
38,8,8,13,2,8
23,9,12,12,2,1
42,6,10,21,2,18
25,7,14,16,3,16
28,10,16,18,1,12
33,10,11,15,3,1
20,12,0,0,3,18
25,5,14,20,2,1
37,14,20,21,6,16
27,12,16,19,3,13
33,13,14,15,2,7
25,4,7,13,6,4
24,14,17,18,2,22
22,13,17,18,3,20
30,11,21,21,2,1
36,10,12,17,3,1
21,0,0,0,6,18
26,13,17,20,2,16
36,14,18,18,2,25
30,12,20,23,2,10
33,12,28,31,2,12
42,15,18,16,3,19
35,7,16,17,1,14
34,12,16,21,3,14
20,8,14,16,6,13
54,7,12,21,2,8
35,13,17,8,1,25
20,14,17,0,3,16
17,12,15,0,3,14
20,9,11,12,2,1
33,14,18,18,3,17
31,13,19,23,6,22
26,7,12,17,2,7
32,11,13,17,3,17
28,14,16,17,2,15
37,11,20,25,2,27
23,11,17,18,2,14
27,8,23,0,2,1
24,5,11,13,6,8
28,13,14,18,3,1
21,11,21,21,3,16
24,8,8,17,3,1
20,6,12,20,3,14
29,14,14,18,2,16
32,12,12,19,2,1
33,9,14,14,2,8
25,14,21,0,1,15
19,14,16,0,2,14
26,9,13,15,3,1
30,7,15,13,2,12
17,10,11,15,6,12
37,8,8,14,2,14
21,11,14,18,3,11
49,11,24,27,2,29
36,12,12,7,3,16
44,8,13,15,2,8
22,7,12,19,2,1
47,6,25,27,3,1
45,13,14,18,2,8
35,12,13,14,2,1
27,5,5,19,2,6
25,11,14,18,3,1
27,12,12,16,2,15
16,12,14,0,2,13
45,3,21,22,2,21
26,6,19,20,2,12
29,16,17,17,3,17
37,11,6,16,1,12
21,6,14,16,3,16
40,10,10,13,2,13
30,12,19,22,3,1
25,13,14,18,3,19
41,9,15,23,3,33
38,5,17,15,1,10
26,6,14,18,6,12
27,17,18,19,3,20
21,13,17,19,2,15
28,12,18,19,2,12
28,12,15,15,2,12
43,9,12,18,3,12
23,8,19,19,2,1
22,10,15,16,6,17
20,10,11,19,3,13
20,7,19,0,1,16
21,12,16,0,3,15
22,13,18,19,3,20
28,15,16,18,2,16
37,9,12,19,3,29
24,12,15,17,1,17
59,10,22,25,2,10
18,4,0,0,2,1
26,12,14,15,2,1
19,19,17,0,3,17
22,11,17,17,2,13
39,15,23,23,2,15
25,7,8,11,2,1
28,12,8,17,2,12
48,6,14,14,2,7
57,15,20,15,2,19
40,16,20,29,2,28
25,12,15,20,3,20
32,15,15,17,3,21
38,12,12,17,3,11
44,6,13,22,2,1
24,12,17,18,2,12
24,12,17,21,3,18
29,4,14,19,3,23
43,21,14,0,3,1
25,12,14,17,3,19
29,5,16,14,3,1
29,10,12,18,2,14
25,8,11,14,2,1
34,6,13,16,2,12
27,13,14,14,2,1
35,8,10,16,3,11
44,12,13,20,3,30
33,12,13,14,3,24
26,12,14,16,2,13
36,10,24,24,2,12
34,15,17,18,2,18
27,6,17,17,2,16
42,10,16,16,1,10
46,5,6,11,2,5
38,16,16,17,2,18
27,8,22,22,3,16
21,10,17,18,2,11
40,10,12,18,3,36
33,12,19,19,2,12
26,8,15,16,2,1
27,7,13,21,3,1
22,19,19,0,2,18
45,12,24,34,6,36
